firm_id,field,kind,tier1_value,tier2_value,tier2_abstain,note,evidence
HPG,marketplace_links,abstain,[],[],True,Không có liên kết đến gian hàng sàn.,
HPG,website_language,agree,vi,,False,unknown_compatible,
VNM,has_product_catalog,abstain,True,,True,tier2_null_value,
VNM,has_order_cart,abstain,True,,True,tier2_null_value,
VNM,payment_methods,conflict,['cod'],[],False,presence_mismatch,
VNM,social_links,abstain,"[{'platform': 'facebook', 'url': 'https://www.facebook.com/LifeAtVinamilk'}, {'platform': 'facebook', 'url': 'https://www.facebook.com/vinamilkofficial'}, {'platform': 'instagram', 'url': 'https://www.instagram.com/vinamilk_lovenature/'}, {'platform': 'linkedin', 'url': 'https://www.linkedin.com/company/vinamilk'}, {'platform': 'youtube', 'url': 'https://www.youtube.com/channel/UCS9JKqDiIJqps1S8kpcx2Xg'}]",[],True,Không có liên kết mạng xã hội trong văn bản.,
VNM,marketplace_links,abstain,"[{'platform': 'tiktok', 'url': 'https://www.tiktok.com/@vinamilk.official'}]",[],True,Không có thông tin về gian hàng trên sàn thương mại điện tử.,
VNM,website_language,agree,vi,,False,unknown_compatible,
FPT,has_product_catalog,abstain,True,,True,Không có thông tin về danh mục sản phẩm.,
FPT,has_order_cart,abstain,False,,True,Không có thông tin về giỏ hàng hoặc checkout.,
FPT,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
FPT,social_links,abstain,"[{'platform': 'facebook', 'url': 'https://www.facebook.com/91936967046/'}, {'platform': 'youtube', 'url': 'https://youtube.com/c/FPTCorporation'}, {'platform': 'linkedin', 'url': 'https://www.linkedin.com/company/fpt-corporation'}, {'platform': 'facebook', 'url': 'https://facebook.com/91936967046'}, {'platform': 'linkedin', 'url': 'https://linkedin.com/company/fpt-corporation'}]",[],True,Không có liên kết mạng xã hội.,
FPT,marketplace_links,abstain,[],[],True,Không có liên kết gian hàng sàn.,
FPT,website_language,agree,vi,,False,unknown_compatible,
GVR,has_product_catalog,abstain,True,,True,tier2_null_value,
GVR,has_order_cart,abstain,False,,True,"Không có thông tin về giỏ hàng, đặt hàng, checkout hoặc mua ngay trên trang web.",
GVR,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
GVR,social_links,abstain,[],[],True,Không có liên kết mạng xã hội trong nội dung trang.,
GVR,marketplace_links,abstain,[],[],True,Không có liên kết đến gian hàng trên sàn thương mại điện tử.,
GVR,website_language,agree,vi,,False,unknown_compatible,
DGC,has_product_catalog,abstain,True,,True,tier2_null_value,
DGC,has_order_cart,abstain,True,,True,"Không có thông tin về giỏ hàng, đặt hàng, checkout, hoặc mua ngay trên website.",
DGC,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
DGC,social_links,abstain,[],[],True,Không có liên kết mạng xã hội trong văn bản.,
DGC,marketplace_links,abstain,[],[],True,Không có thông tin về gian hàng trên sàn thương mại điện tử.,
DGC,website_language,agree,vi,,False,unknown_compatible,
MSN,has_product_catalog,abstain,False,,True,Không có bằng chứng về danh mục sản phẩm trong nội dung trang.,
MSN,has_order_cart,abstain,False,,True,Không có bằng chứng về giỏ hàng hoặc checkout trên trang.,
MSN,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
MSN,social_links,abstain,[],[],True,Không có liên kết mạng xã hội trong nội dung.,
MSN,marketplace_links,abstain,[],[],True,Không có liên kết gian hàng sàn.,
MSN,website_language,agree,mixed,,False,unknown_compatible,
PNJ,has_product_catalog,abstain,True,,True,Không có bằng chứng rõ ràng về danh mục sản phẩm trên trang.,
PNJ,has_order_cart,abstain,False,,True,Không có bằng chứng rõ ràng về giỏ hàng hoặc checkout trên trang.,
PNJ,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
PNJ,social_links,abstain,[],[],True,Không có liên kết mạng xã hội trong nội dung trang.,
PNJ,marketplace_links,abstain,[],[],True,Không có bằng chứng về gian hàng trên sàn.,
PNJ,website_language,agree,vi,,False,unknown_compatible,
REE,has_product_catalog,abstain,True,,True,Không có thông tin về danh mục sản phẩm,
REE,has_order_cart,abstain,False,,True,Không có thông tin về giỏ hàng hoặc checkout,
REE,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán,
REE,social_links,abstain,"[{'platform': 'facebook', 'url': 'https://www.facebook.com/REEcorp.1977/'}, {'platform': 'linkedin', 'url': 'https://www.linkedin.com/company/reecorp1977/'}, {'platform': 'youtube', 'url': 'https://www.youtube.com/c/REECorporation1977'}]",[],True,Không có liên kết mạng xã hội,
REE,marketplace_links,abstain,[],[],True,Không có liên kết gian hàng sàn,
REE,website_language,agree,vi,,False,unknown_compatible,
BMP,has_product_catalog,abstain,True,,True,tier2_null_value,
BMP,has_order_cart,abstain,False,,True,"Không có thông tin về giỏ hàng, đặt hàng, checkout, hoặc mua ngay trên trang web.",
BMP,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
BMP,social_links,abstain,"[{'platform': 'facebook', 'url': 'https://www.facebook.com/binhminhplastic'}, {'platform': 'zalo', 'url': 'https://zalo.me/nhuabinhminh'}, {'platform': 'youtube', 'url': 'https://www.youtube.com/@congtycophannhuabinhminh1905'}]",[],True,Không có liên kết mạng xã hội trong văn bản.,
BMP,marketplace_links,abstain,"[{'platform': 'tiktok', 'url': 'https://www.tiktok.com/@binhminhplastic'}]",[],True,Không có thông tin về gian hàng trên sàn thương mại điện tử.,
BMP,website_language,agree,vi,,False,unknown_compatible,
VHC,has_product_catalog,abstain,True,,True,tier2_null_value,
VHC,has_order_cart,abstain,True,,True,"Không có thông tin về giỏ hàng, đặt hàng, checkout, hoặc mua ngay trên website.",
VHC,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
VHC,social_links,conflict,"[{'platform': 'facebook', 'url': 'https://www.facebook.com/vinhhoancorp'}, {'platform': 'youtube', 'url': 'https://www.youtube.com/channel/UCGaIYk8aymM97i46phAKusA'}, {'platform': 'linkedin', 'url': 'https://www.linkedin.com/company/6592449/admin/'}]",[],False,presence_mismatch,
VHC,marketplace_links,abstain,[],[],True,Không có thông tin về gian hàng trên sàn thương mại điện tử.,
VHC,website_language,agree,vi,,False,unknown_compatible,
ANV,has_product_catalog,abstain,True,,True,tier2_null_value,
ANV,has_order_cart,abstain,False,,True,"Không thấy thông tin về giỏ hàng, đặt hàng, checkout, hoặc mua ngay trên website.",
ANV,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
ANV,social_links,agree,[],[],False,,
ANV,marketplace_links,abstain,[],[],True,Không thấy liên kết đến các sàn thương mại điện tử.,
ANV,website_language,agree,vi,,False,unknown_compatible,
IDI,has_product_catalog,abstain,True,,True,tier2_null_value,
IDI,has_order_cart,abstain,False,,True,"Không có thông tin về giỏ hàng, đặt hàng, checkout hoặc mua ngay trên website.",
IDI,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
IDI,social_links,abstain,"[{'platform': 'facebook', 'url': 'https://www.facebook.com/idicorporationofficial?mibextid=LQQJ4d'}, {'platform': 'youtube', 'url': 'https://www.youtube.com/@saomaigroup6051/videos'}]",[],True,Không có liên kết mạng xã hội trong văn bản.,
IDI,marketplace_links,abstain,[],[],True,Không có liên kết đến gian hàng sàn.,
IDI,website_language,agree,en,,False,unknown_compatible,
SBT,has_product_catalog,abstain,True,,True,tier2_null_value,
SBT,has_order_cart,abstain,False,,True,"Không có thông tin về giỏ hàng, đặt hàng, checkout, hoặc mua ngay trên website.",
SBT,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
SBT,social_links,agree,[],[],False,,
SBT,marketplace_links,abstain,[],[],True,Không có thông tin về gian hàng trên sàn.,
SBT,website_language,agree,vi,,False,unknown_compatible,
QNS,has_product_catalog,agree,True,True,False,,
QNS,has_order_cart,abstain,True,,True,"Không có thông tin về giỏ hàng, checkout, hoặc mua ngay trên website",
QNS,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán,
QNS,social_links,abstain,"[{'platform': 'facebook', 'url': 'https://www.facebook.com/INFO.QNS.COM.VN/'}, {'platform': 'youtube', 'url': 'https://www.youtube.com/@CongtyCophanDuongQuangNgai'}]",[],True,Không có liên kết mạng xã hội,
QNS,marketplace_links,abstain,[],[],True,Không có thông tin về gian hàng trên sàn,
QNS,website_language,agree,vi,vi,False,,
HSG,has_product_catalog,abstain,True,,True,tier2_null_value,
HSG,has_order_cart,abstain,True,,True,"Không có thông tin về giỏ hàng, checkout, hoặc đặt hàng trực tiếp trên trang.",
HSG,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
HSG,social_links,abstain,"[{'platform': 'facebook', 'url': 'https://www.facebook.com/hoasengroup.vn'}, {'platform': 'youtube', 'url': 'https://www.youtube.com/@hoasengroupofficial'}, {'platform': 'zalo', 'url': 'https://zalo.me/3569717439646182173'}, {'platform': 'facebook', 'url': 'https://www.facebook.com/tonhoasen.hsg'}, {'platform': 'youtube', 'url': 'https://www.youtube.com/@CongtyCPTapdoanHoaSen'}, {'platform': 'tiktok', 'url': 'https://www.tiktok.com/@hoasengroup.vn'}, {'platform': 'zalo', 'url': 'https://zalo.me/2867298229687548991'}, {'platform': 'tiktok', 'url': 'https://www.tiktok.com/@nghesycuacongchung'}]",[],True,Không có liên kết mạng xã hội cụ thể trong văn bản.,
HSG,marketplace_links,abstain,"[{'platform': 'tiktok', 'url': 'https://www.tiktok.com/@hoasengroup.vn'}, {'platform': 'tiktok', 'url': 'https://www.tiktok.com/@nghesycuacongchung'}]",[],True,Không có thông tin về gian hàng trên sàn thương mại điện tử.,
HSG,website_language,agree,vi,,False,unknown_compatible,
NKG,has_product_catalog,abstain,True,,True,tier2_null_value,
NKG,has_order_cart,abstain,False,,True,"Không có thông tin về giỏ hàng, đặt hàng, checkout hoặc mua ngay trên trang.",
NKG,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
NKG,social_links,abstain,[],[],True,Không có liên kết mạng xã hội cụ thể trong văn bản.,
NKG,marketplace_links,abstain,[],[],True,Không có thông tin về gian hàng trên sàn thương mại điện tử.,
NKG,website_language,agree,vi,,False,unknown_compatible,
POM,has_product_catalog,abstain,True,,True,Không có bằng chứng rõ ràng về danh mục sản phẩm trên trang.,
POM,has_order_cart,abstain,False,,True,"Không thấy thông tin về giỏ hàng, đặt hàng, checkout.",
POM,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
POM,social_links,abstain,"[{'platform': 'youtube', 'url': 'http://www.youtube.com'}]",[],True,Không có liên kết mạng xã hội.,
POM,marketplace_links,abstain,[],[],True,Không có liên kết đến gian hàng sàn.,
POM,website_language,agree,vi,,False,unknown_compatible,
TLH,has_product_catalog,abstain,True,,True,Không có danh mục sản phẩm cụ thể được liệt kê trong nội dung trang.,
TLH,has_order_cart,abstain,True,,True,"Không có thông tin về giỏ hàng, đặt hàng, checkout hoặc mua ngay trên website.",
TLH,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
TLH,social_links,abstain,[],[],True,Không có liên kết mạng xã hội trong nội dung.,
TLH,marketplace_links,abstain,[],[],True,Không có liên kết đến gian hàng trên sàn thương mại điện tử.,
TLH,website_language,agree,vi,,False,unknown_compatible,
DQC,has_product_catalog,agree,True,True,False,,
DQC,has_order_cart,agree,True,True,False,,
DQC,payment_methods,conflict,[],['cod'],False,presence_mismatch,
DQC,social_links,abstain,"[{'platform': 'facebook', 'url': 'https://www.facebook.com/dienquanglamp/'}, {'platform': 'linkedin', 'url': 'https://www.linkedin.com/company/dienquanggroup/'}, {'platform': 'youtube', 'url': 'https://www.youtube.com/channel/UCIjsb_poJsbKXNtoaYd-jiw/featured'}]",[],True,Không có liên kết MXH trong văn bản,
DQC,marketplace_links,abstain,[],[],True,Không có liên kết đến sàn thương mại điện tử,
DQC,website_language,agree,vi,vi,False,,
GEE,*,skip,,,True,fetch_failed_or_no_tier1,
TYA,has_product_catalog,abstain,True,,True,tier2_null_value,
TYA,has_order_cart,abstain,False,,True,"Không có thông tin về giỏ hàng, đặt hàng, checkout, hoặc mua ngay trên trang.",
TYA,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
TYA,social_links,abstain,"[{'platform': 'zalo', 'url': 'https://zalo.me/'}]",[],True,Không có liên kết mạng xã hội trong văn bản.,
TYA,marketplace_links,abstain,[],[],True,Không có thông tin về gian hàng trên sàn thương mại điện tử.,
TYA,website_language,agree,vi,,False,unknown_compatible,
DPR,has_product_catalog,abstain,True,,True,tier2_null_value,
DPR,has_order_cart,abstain,False,,True,tier2_null_value,
DPR,payment_methods,agree,[],[],False,,
DPR,social_links,abstain,[],[],True,Không có liên kết MXH trong văn bản.,
DPR,marketplace_links,abstain,[],[],True,Không có liên kết gian hàng sàn.,
DPR,website_language,agree,vi,,False,unknown_compatible,
CSM,has_product_catalog,agree,True,True,False,,
CSM,has_order_cart,abstain,True,,True,tier2_null_value,
CSM,payment_methods,conflict,[],['none'],False,presence_mismatch,
CSM,social_links,conflict,"[{'platform': 'youtube', 'url': 'https://youtu.be/Z5Z-xmRSbzg?si=IDWXxTdiWHtsu92f'}, {'platform': 'facebook', 'url': 'https://www.facebook.com/Casuminavn'}, {'platform': 'zalo', 'url': 'https://zalo.me/2187648418711741062'}, {'platform': 'youtube', 'url': 'https://www.youtube.com/@casuminaofficial6579'}, {'platform': 'instagram', 'url': 'https://www.instagram.com/casumina_official'}, {'platform': 'tiktok', 'url': 'https://www.tiktok.com/@casumina_official'}]",[],False,presence_mismatch,
CSM,marketplace_links,conflict,"[{'platform': 'tiktok', 'url': 'https://www.tiktok.com/@casumina_official'}]",[],False,presence_mismatch,
CSM,website_language,agree,vi,vi,False,,
AAA,has_product_catalog,abstain,True,,True,tier2_null_value,
AAA,has_order_cart,abstain,True,,True,Không có bằng chứng về giỏ hàng hoặc checkout trên trang.,
AAA,payment_methods,abstain,['cod'],[],True,Không có thông tin về phương thức thanh toán.,
AAA,social_links,conflict,"[{'platform': 'linkedin', 'url': 'https://www.linkedin.com/company/anphatplastics'}, {'platform': 'youtube', 'url': 'https://www.youtube.com/@AnPhatHoldings'}]",[],False,presence_mismatch,
AAA,marketplace_links,abstain,[],[],True,Không có bằng chứng về gian hàng trên sàn.,
AAA,website_language,agree,vi,,False,unknown_compatible,
DCM,has_product_catalog,abstain,True,,True,tier2_null_value,
DCM,has_order_cart,abstain,False,,True,tier2_null_value,
DCM,payment_methods,agree,[],[],False,,
DCM,social_links,conflict,"[{'platform': 'youtube', 'url': 'https://youtu.be/vOHIFTmH2wM'}, {'platform': 'facebook', 'url': 'https://www.facebook.com/phanboncamau/'}, {'platform': 'youtube', 'url': 'https://www.youtube.com/channel/UC8NCXHM6oO5PbEdl2B7Lydg'}]",[],False,presence_mismatch,
DCM,marketplace_links,conflict,"[{'platform': 'tiktok', 'url': 'https://www.tiktok.com/@phanboncamau'}]",[],False,presence_mismatch,
DCM,website_language,agree,vi,,False,unknown_compatible,
BFC,has_product_catalog,abstain,True,,True,tier2_null_value,
BFC,has_order_cart,abstain,False,,True,tier2_null_value,
BFC,payment_methods,agree,[],[],False,,
BFC,social_links,conflict,"[{'platform': 'zalo', 'url': 'https://zalo.me/3430450668306090899'}, {'platform': 'facebook', 'url': 'https://www.facebook.com/BinhDienDauTrau/'}, {'platform': 'youtube', 'url': 'https://www.youtube.com/binhdiendautrau'}]",[],False,presence_mismatch,
BFC,marketplace_links,agree,[],[],False,,
BFC,website_language,agree,vi,,False,unknown_compatible,
CSV,has_product_catalog,abstain,True,,True,tier2_null_value,
CSV,has_order_cart,abstain,True,,True,tier2_null_value,
CSV,payment_methods,agree,[],[],False,,
CSV,social_links,conflict,"[{'platform': 'x', 'url': 'https://twitter.com/'}, {'platform': 'instagram', 'url': 'https://www.instagram.com/'}, {'platform': 'facebook', 'url': 'https://www.facebook.com/'}]",[],False,presence_mismatch,
CSV,marketplace_links,agree,[],[],False,,
CSV,website_language,agree,vi,,False,unknown_compatible,
0101552800-003,*,skip,,,True,fetch_failed_or_no_tier1,
0103472639-002,*,skip,,,True,fetch_failed_or_no_tier1,
0104076740,*,skip,,,True,fetch_failed_or_no_tier1,
0105196007,has_product_catalog,abstain,True,,True,"Không có danh mục sản phẩm, chỉ có dịch vụ và thông tin liên hệ.",
0105196007,has_order_cart,abstain,False,,True,"Không có thông tin giỏ hàng, đặt hàng, checkout trên trang.",
0105196007,payment_methods,abstain,[],[],True,Không có thông tin phương thức thanh toán.,
0105196007,social_links,abstain,"[{'platform': 'zalo', 'url': 'https://zalo.me/0983551110'}]",[],True,Không có liên kết mạng xã hội.,
0105196007,marketplace_links,abstain,[],[],True,Không có liên kết gian hàng sàn.,
0105196007,website_language,agree,vi,,False,unknown_compatible,
0105906553,*,skip,,,True,fetch_failed_or_no_tier1,
0106069682,has_product_catalog,abstain,True,,True,Không có thông tin về danh mục sản phẩm cụ thể trên trang.,
0106069682,has_order_cart,abstain,True,,True,Không có thông tin về giỏ hàng hoặc checkout trên trang.,
0106069682,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
0106069682,social_links,conflict,"[{'platform': 'facebook', 'url': 'https://www.facebook.com/TapdoanSonHa/'}, {'platform': 'zalo', 'url': 'https://zalo.me/84944156390050911'}, {'platform': 'youtube', 'url': 'https://www.youtube.com/c/TapdoanSonHa'}]",[],False,presence_mismatch,
0106069682,marketplace_links,abstain,[],[],True,Không có thông tin về gian hàng trên sàn.,
0106069682,website_language,agree,vi,,False,unknown_compatible,
0106149881,has_product_catalog,abstain,False,,True,Không có bằng chứng về danh mục sản phẩm,
0106149881,has_order_cart,abstain,False,,True,Không có bằng chứng về giỏ hàng hoặc checkout,
0106149881,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán,
0106149881,social_links,abstain,[],[],True,Không có liên kết mạng xã hội,
0106149881,marketplace_links,abstain,[],[],True,Không có liên kết gian hàng sàn,
0106149881,website_language,agree,unknown,,False,unknown_compatible,
0106898305,has_product_catalog,abstain,True,,True,Không có bằng chứng về danh mục sản phẩm trong nội dung trang.,
0106898305,has_order_cart,abstain,True,,True,Không có bằng chứng về giỏ hàng hoặc checkout trên trang.,
0106898305,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
0106898305,social_links,abstain,[],[],True,Không có liên kết mạng xã hội trong nội dung.,
0106898305,marketplace_links,abstain,[],[],True,Không có liên kết gian hàng sàn.,
0106898305,website_language,agree,vi,,False,unknown_compatible,
0107066638,has_product_catalog,abstain,True,,True,"Trang không có danh mục sản phẩm, chỉ có thông tin về tên miền.",
0107066638,has_order_cart,abstain,True,,True,tier2_null_value,
0107066638,payment_methods,agree,[],[],False,,
0107066638,social_links,abstain,[],[],True,Không có liên kết mạng xã hội.,
0107066638,marketplace_links,abstain,[],[],True,Không có liên kết đến gian hàng sàn.,
0107066638,website_language,agree,en,,False,unknown_compatible,
0107740399,*,skip,,,True,fetch_failed_or_no_tier1,
0107866095,*,skip,,,True,fetch_failed_or_no_tier1,
0200344752-001,has_product_catalog,abstain,False,,True,tier2_null_value,
0200344752-001,has_order_cart,abstain,False,,True,"Không có thông tin về giỏ hàng, đặt hàng, checkout hoặc mua ngay trên website.",
0200344752-001,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
0200344752-001,social_links,abstain,[],[],True,Không có liên kết mạng xã hội.,
0200344752-001,marketplace_links,abstain,[],[],True,Không có liên kết đến gian hàng sàn.,
0200344752-001,website_language,agree,en,,False,unknown_compatible,
0200580911,*,skip,,,True,fetch_failed_or_no_tier1,
0300606715-007,*,skip,,,True,fetch_failed_or_no_tier1,
0304152188-003,has_product_catalog,abstain,True,,True,Trang không có danh mục sản phẩm mà là trang bán tên miền.,
0304152188-003,has_order_cart,abstain,True,,True,tier2_null_value,
0304152188-003,payment_methods,agree,[],[],False,,
0304152188-003,social_links,abstain,[],[],True,Không có liên kết mạng xã hội trong văn bản.,
0304152188-003,marketplace_links,abstain,[],[],True,Không có liên kết đến gian hàng sàn.,
0304152188-003,website_language,agree,en,,False,unknown_compatible,
0304244470-008,*,skip,,,True,fetch_failed_or_no_tier1,
0304531098-001,has_product_catalog,agree,True,True,False,,
0304531098-001,has_order_cart,agree,True,True,False,,
0304531098-001,payment_methods,conflict,[],['other'],False,presence_mismatch,
0304531098-001,social_links,abstain,"[{'platform': 'zalo', 'url': 'https://zalo.me/0934073399'}]",[],True,Không có liên kết mạng xã hội trong văn bản.,
0304531098-001,marketplace_links,abstain,[],[],True,Không có liên kết đến sàn thương mại điện tử.,
0304531098-001,website_language,agree,vi,vi,False,,
0304531098-002,has_product_catalog,agree,True,True,False,,
0304531098-002,has_order_cart,agree,True,True,False,,
0304531098-002,payment_methods,conflict,[],['other'],False,presence_mismatch,
0304531098-002,social_links,abstain,"[{'platform': 'zalo', 'url': 'https://zalo.me/0934073399'}]",[],True,Không có liên kết mạng xã hội trong văn bản.,
0304531098-002,marketplace_links,abstain,[],[],True,Không có liên kết đến sàn thương mại điện tử.,
0304531098-002,website_language,agree,vi,vi,False,,
0305755968-001,*,skip,,,True,fetch_failed_or_no_tier1,
0306043498-001,has_product_catalog,abstain,False,,True,tier2_null_value,
0306043498-001,has_order_cart,abstain,False,,True,Không có bằng chứng về giỏ hàng hoặc checkout trên trang.,
0306043498-001,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán.,
0306043498-001,social_links,abstain,[],[],True,Không có liên kết mạng xã hội.,
0306043498-001,marketplace_links,abstain,[],[],True,Không có liên kết đến gian hàng sàn.,
0306043498-001,website_language,agree,en,,False,unknown_compatible,
0308808103-001,has_product_catalog,abstain,False,,True,Không có thông tin về danh mục sản phẩm,
0308808103-001,has_order_cart,abstain,False,,True,Không có thông tin về giỏ hàng hoặc đặt hàng,
0308808103-001,payment_methods,abstain,[],[],True,Không có thông tin về phương thức thanh toán,
